title,videourl,hoteltype,address,contact,webpage,email,workinghours,workingdays,places,municipality,owner,programm,services,activities,foodplace,spa,others,president,stars,roomsnumber,placenums,checkin,checkout,price,priceseason,manager,director,tags
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №333 / Aghmashenebeli st. №333","568 30 17 24",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi",,,,,,,11,36,,,,"მაისი, ივნისი (ორადგილიანი) - 15$, (სამადგილიანი) - 20$, ივლისი (ორადგილიანი) - 20 $, აგვისტო (ორადგილიანი) - 25 $, (სამადგილიანი) - 30-35$.","გიორგი ანანიძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"რუსთაველის ქ. №327 ე / აღმაშენებლის ქ. №524 ა / Rustaveli str. №327e / Aghmashenebli st. №524a","593 46 68 55",,,,,,,,,Wi-Fi,,,,,,,,,,,,"20-25 ლარი ერთი ადამიანი","ლიანა ვერულიძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №778 / Aghmashenebeli st. №778","593 65 71 25",,,,,,,,,Wi-Fi,,,,,,,6,16,,,,"15-20 ლარი ერთი ადამიანი","ჩიტო მჟავანაძე",,
"ივერი ბიჩ / Iveri Beach",,სასტუმრო,"აღმაშენებლის ქ. №339ა / Aghmashenebeli st. №339a","593 10 60 40 / 555 31 83 90",,,,,,,,,Wi-Fi,,,,,,,25,90,,,,"ივნისი - 30 - 40 ლარი,  ივლისი/აგვისტო - 40 - 60 ლარი","დიმიტრი ვერულიძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №364 ა / Aghmashenebeli st. №364a","577 20 39 08",,,,,,,,,Wi-Fi,,,,,,,21,70,,,,"15-25 ლარი ერთი ადამიანი","მერაბ ცინცაბაძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №402 ა / Aghmashenebli st. №402a","555 45 65 53",,,,,,,,,Wi-Fi,,,,,,,10,40,,,,"15-20 ლარი ერთი ადამიანი",მარინა,,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"რუსთაველის ქ. №313 / Rustaveli st. №313","593 61 07 53",,,,,,,,,Wi-Fi,,,,,,,15,45,,,,"20 ლარი ერთი ადამიანი","თემურ ლაზიშვილი",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №382 / Aghmashenebeli st. № 382","(0426) 26 77 44 / 599 36 77 44",,,,,,,,,Wi-Fi,,,,,,,7,16,,,,,"ნანა რომანაძე",,
"გია / Gia",,სასტუმრო,"აღმაშენებლის ქ. №456 / Aghmashenebeli st. №456","593 63 41 45",,,,,,,,,Wi-Fi,,,,,,,9,22,,,,"30 ლარი ერთი ადამიანი","გია ხარაზი",,
"ჯიჯა გოლდი / Jija Gold",,სასტუმრო,"აღმაშენებლის ქ. №382 ბ / Aghmashenebeli st. №382b","555 72 77 17",,,,,,,,,Wi-Fi,,,,,,,,,,,,"ივნისი (ორადგილიანი) - 60-70 ლარი, აგვისტო(ორადგილიანი) - 80 ლარი","ინგა ჯიჯავაძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №338 / Aghmashenebeli st. №338","599 22 89 06",,,,,,,,,Wi-Fi,,,,,,,12,30,,,,"ივნისი - 10 ლარი ერთი ადამიანი, ივლისი/აგვისტო - 15-20 ლარი ერთი ადამიანი","ნანი ცივაძე",,
"სალომე / Salome",,სასტუმრო,"აღმაშენებლის ქ. №402 ა / Aghmashenebeli st. №402a","555 45 65 53",,,,,,,,,Wi-Fi,,,,,,,11,27,,,,"ივნისი - 10 ლარი ერთი ადამიანი, ივლისი - 15 ლარი ერთი ადამიანი","სალომე სალუქვაძე",,
"მათე / Mate",,სასტუმრო,"ვერულიძისქ ქ. №3 / Verulidze st. №3","(0426) 26 68 66 / 514 12 21 21 / 514 30 07 07",,,,,,,,,Wi-Fi,,,,,,,11,40,,,,,"ლამარა ჯორბენაძე",,
ნიკა/Nika,,სასტუმრო,"აღმაშენებლის ქ. №720 / Aghmashenebeli st. №720","599 17 86 87",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი",,,,,,,7,10,,,"30ლ ორადგილიანი ივნისი ","40ლ ორადგილიანი ივლისი, აგვისტო ",,"ზაურ ვერულიძე",
ნიცა/Nica,,სასტუმრო,"აღმაშენებლის ქ. №514 / Aghmashenebeli st. №514","599 91 91 24",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე",,,,,,,17,52,,,,150-170ლ,"შორენა გეგიძე",,
"აპარტამენტი / Apartment",,სასტუმრო,"თავისუფლების ქ. №5 / Tavisuphleba st. №5","577 07 07 89 / 599 27 01 00",,,,,,,,,Wi-Fi,,,,,,,5,10,,,,"ივნისი - 20$, ივლისი/აგვისტო - 40$-50$","ირინა ხარაზი",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"ჯინჭარაძის ქ. №2 / Jincharadze st. №2","(0426) 26 82 38 / 593 90 07 73",,,,,,,,,Wi-Fi,,,,,,,12,35,,,,"ივნისი (ორ და სამადგილიანი) - 60 ლარი , ივლისი - 70 ლარი, აგვისტო - 80 - 90 ლარი ","ელზა კაკალაძე",,
ორენჯი/Orange,,სასტუმრო,"თამარ მეფის ქ. №70ა / Tamar Mephe st. №70a","568 78 62 70",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,ტრანსფერი",,,,,,,18,50,,,"40ლ ორადგილიანი-ივნისი (საუზმის გარეშე)","40-70ლ ორადგილიანი ივლისი-აგვისტო",,"ლუდმილა მახარაძე",
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"9 აპრილის ქ. №3 / 9 Aprili st. №3","599 44 05 45",,,,,,,,,Wi-Fi,,,,,,,24,80,,,,"ივნისი - 30-40 ლარი, ივლისი - 60-70 ლარი, აგვისტო - 100 ლარი","ია კაკალაძე",,
"საოჯახო სახლი / Guest House",,"საოჯახო სახლი","აღმაშენებლის №110 ა / Aghmashenebeli st.№ 110a","557 38 17 38 / 593 57 09 95",,,,,,,,,Wi-Fi,,,,,,,7,20,,,,,"ანზორ დევაძე",,
"საოჯახო სახლი / Guest House",,"საოჯახო სახლი","9 აპრილის ქ. №16 / 9 Aprili st. №16","(0426) 26 61 92 / 593 47 23 44",,,,,,,,,Wi-Fi,,,,,,,7,14,,,,"150 ლარი 7 ადამიანი","ნოდარ დონდოლაძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №71 / Aghmashenebeli st. №71","(0426) 26 75 98 / 598 10 63 77",,,,,,,,,Wi-Fi,,,,,,,3,10,,,,"80 ლარი ორადგილიანი","ავთანდილ ნოღაიდელი",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №89 / Aghmashenebeli st. №89","593 56 70 24",,,,,,,,,Wi-Fi,,,,,,,8,25,,,,"ივნისი (ორადგილიანი) - 30-50 ლარი, აგვისტო (ორადგილიანი) - 50 ლარი","ნაილ ონიანი",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"ნინოშვილის ქ. №3 / Ninoshvili st. №3","555 21 78 78 / 557 19 21 21",,,,,,,,,Wi-Fi,,,,,,,41,16,,,,"ივნისი - 15 ლარი ერთი ადამიანი, ივლისი/აგვისტო - 20-25 ლარი ერთი ადამიანი","დავით დოლაბერიძე",,
"ოქრა ლაივ / Okra Live",,"საოჯახო სახლი","ნინოშვილის ქ. №18 / Ninoshvili st. №18","599 21 07 09 / 595 79 09 91",,orhideyablack@mail.ru,,,,,,,Wi-Fi,,,,,,,20,50,,,,"ივნისი (ორადგილიანი) - 60 ლარი, ივლისი (ორადგილიანი) - 70 ლარი, აგვისტო (ორადგილიანი) - 80 ლარი. ლუქსის ტიპის ოროთახიანი 180 ლარი",,,
