title,videourl,hoteltype,address,contact,webpage,email,workinghours,workingdays,places,municipality,owner,programm,services,activities,foodplace,spa,others,president,stars,roomsnumber,placenums,tags,
"აისი","","სასტუმრო"," გრიბოედოვი /  გორგილაძის  ქ № 153 / 29","+995 568 32 00 99","www.hotelaisi.ge","contact@hotelaisi.ge","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები","ბილიარდი","რესტორანი,კაფე","ფიტნესი","ზღვასთან ახლოს,საკონფერენციო დარბაზი","","4","37","71","",
"ანტიკა","","სასტუმრო","პუშკინის ქ. № 108","0422 25 24 14 / +995 514 61 24 24","www.hotelantika.com","hotelantika@mail.ru","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,საუზმე","","რესტორანი","","","","2","19","45","",
"ალბატროსი","","სასტუმრო","ბარათაშვილის ქ. № 43","0422 22 45 30 / +995 558 62 30 09 ","www.hotelalbatros.ge","hotel-albatros@mail.ru","","","","","","","Wi-Fi,პარკინგი","","","","","","არ აქვთ","6","12","",
"ანატოლია","","სასტუმრო","ფარნავაზ მეფის ქ. № 142","+995 599 15 07 73 / +995 555 21 07 02 / +995 571 40 33 44","","kuriraida@gmail.com / indi.tegu@mail.ru","","","","","","","Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,ავტო გაქირავება,ველო გაქირავება","","","","ბიზნეს შეხვედრების ორგანიზება","","","8","16","",
"ამირანი","","სასტუმრო","არმაშენებლის ქ. № 13ა","+995 558 22 20 20 ","","sastumroamirani@gmail.com","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი","","","","","","","5","15","",
"ანა","","სასტუმრო","პუშკინის ქ. № 57","0422 27 26 51","","","","","","","","","Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია","","","","","","","8","16","",
"აფსაროსი","","სასტუმრო","ჭავჭავაძის ქ. № 95","+995 568 61 46 89 / +995 599 78 32 72","","","","","","","","","Wi-Fi,პარკინგი","","","","","","3","10","19","",
"აკვარიუსი","","სასტუმრო","პუშკინის ქ.  № 37","0422 22 51 85 / +995 599 11 94 95 ","","hotel.aquarius@yahoo.com","","","","","","","Wi-Fi,პარკინგი,საუზმე","","ბარი","","","","3","3","15","",
"ამირანი","","სასტუმრო","მაზნიაშვილის ქ. № 3","0422 27 55 15 / +995 555 31 80 06 / +995 568 66 77 87","","","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე","","რესტორანი","","კერძო პლიაჟი,ზღვასთან ახლოს,ბიზნეს შეხვედრების ორგანიზება","","2","8","25","",
"ანადოლუ","","სასტუმრო","ქუთაისის ქ. № 23","0422 22 80 80 / +995 595 25 65 85","","sopo.darchidze@mail.ru","","","","","","","Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები","","","","","","2","20","40","",
"არგო","","სასტუმრო","გორგილაძის ქ. № 75ა","+995 592 19 43 43 / +995 558 27 49 67 / +995 557 74 50 18","","","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,ლიფტი","","რესტორანი","","საკონფერენციო დარბაზი","","3","28","50","",
